address,matched_address,semantic_similarity
"Navalaldea Pab. B2A, 20110 Pasai Donibane (Gipuzkoa) Spain","Araneder Kalea 2, 20110 Pasaia, Gipuzkoa, Spain",0.5
"Rue Du Boucaud 16, 85330 NOIRMOUTIER EN L ILE France","2 Grande Rue, 85330 Noirmoutier-en-l'Île, France",0.5
"Germany,Südergellersen,21394","Lüneburger Straße 2, 21394 Kirchgellersen, Germany",0.5
"United Kingdom,weston coyney,ST3 6RB","384 Weston Road, Stoke-on-Trent, ST3 6QA, United Kingdom",0.5
"Avenue des Arts 6/501, 1210 Bruxelles Belgium","Avenue Des Arts - Kunstlaan 30, 1040 Brussels, Brussels-Capital, Belgium",0.6
"The Netherlands,Amsterdam,1053 TP","Jan Hanzenstraat 301, 1053 SP Amsterdam, Netherlands",0.6
"1813 KN, Alkmaar, Netherlands","Huibert Pootlaan 244, 1813 ML Alkmaar, Netherlands",0.6
"Parq. Tecnológico;¡ - C/ Auguste y Louis Lumière, 26, 46980 Paterna Spain","Ronda De Auguste I Louis Lumière 16, 46980 Paterna, Valencia, Spain",0.6
"Via Bergognone 34, 20144 Milano Italy","Via Bergognone 34, 20014 Nerviano Milan, Italy",0.6
"France,LA ROCHETTE,77000","1 Rue Saint-Aspais, 77000 Melun, France",0.6
Tramstraat6 2260 Oevel BE,"Tramstraat 6c, 2260 Westerlo, Antwerp, Belgium",0.6
"Germany,Braak,22145","Saseler Straße 2, 22145 Hamburg, Germany",0.6
"Germany,Eigeltingen,78256","Lange Straße 18, 78256 Steißlingen, Germany",0.6
"YO24 2QY, Yoro, United Kingdom","80 Moor Lane, York, YO24 2QY, United Kingdom",0.6
"1405 HB, Bussum, Netherlands","Gudelalaan 1, 1405 GS Bussum, Netherlands",0.6
"Germany,Griefstedt,99638","Topfmarkt 1, 99638 Kindelbrück, Germany",0.6
"Germany,Kreuztal - Kredenbach,57223","Bahnhofstraße 7, 57223 Kreuztal, Germany",0.7
"Parnell Street  13, Ennis County Clare  Ireland","24-26 Parnell Street, Ennis, Clare V95 P306, Ireland",0.7
"Kloosterlandstraat 7A, 9290 Overmere Belgium","Kloosterlandstraat 7a, 9290 Berlare, East Flanders, Belgium",0.7
"2912 AC, Nieuwerkerk a/d IJssel, Netherlands","Dorrestein 19, 2912 BC Nieuwerkerk aan den IJssel, Netherlands",0.7
"The Netherlands,'s-Gravenhage,2592TH","Haverkamp 264, 2592 BM Den Haag, Netherlands",0.7
"A63 VE20, Greystones, Ireland","1a Church Road, Greystones, Wicklow A63 NX92, Ireland",0.7
"9451, KERKSKEN, Belgium","Kerkskendorp 19, 9451 Haaltert, East Flanders, Belgium",0.7
"Fabrik 6, 6383 Erpfendorf Austria","Fabrik 6, 6383 Kirchdorf in Tirol, Austria",0.7
"INDUSTRIEPARK DRONGEN- POORT 9 14, 9031 DRONGEN Belgium","Industriepark-Drongen 14, 9031 Gent, East Flanders, Belgium",0.7
"C/ STA.GEMA, 53, 50007 Zaragoza Spain","Paseo Del Canal 17, 50007 Zaragoza, Zaragoza, Spain",0.7
"EN1 1DT, Enfield, United Kingdom","45 St Mark's Road, Enfield, EN1 1BG, United Kingdom",0.7
"3723BV, BILTHOVEN, Netherlands","Soestdijkseweg Noord 303, 3723 HA Bilthoven, Netherlands",0.7
"4281 JJ, Andel, Netherlands","Kroonsappel 2, 4281 JJ Andel, Netherlands",0.7
"2651 RX, Berkel En Rodenrijs, Netherlands","Smaragd 77, 2651 RX Berkel en Rodenrijs, Netherlands",0.7
"Belgium,Tubize,1480","Rue De Mons 1, 1480 Tubize, Walloon Brabant, Belgium",0.7
"3911 BD, Rhenen, Netherlands","Levendaalseweg 14, 3911 BD Rhenen, Netherlands",0.7
"2930, Brasschaat, Belgium","Bredabaan 262, 2930 Brasschaat, Antwerp, Belgium",0.7
"3774 BP, Kootwijkerbroek, Netherlands","Veluweweg 154, 3774 BP Kootwijkerbroek, Netherlands",0.7
"6133 BC, Sittard, Netherlands","Beatrixlaan 42, 6133 BC Sittard, Netherlands",0.7
"2804 PJ, Gouda, Netherlands","Waterruit 154, 2804 PJ Gouda, Netherlands",0.7
"2408 MC, Alphen aan Den Rijn, Netherlands","Braziliëstraat 17, 2408 MC Alphen aan den Rijn, Netherlands",0.7
"4871 BS, Etten-Leur, Netherlands","Buitenhof 11, 4871 BS Etten-Leur, Netherlands",0.7
"The Netherlands,Overveen,2051 HN","Oranje Nassaulaan 171, 2051 HN Overveen, Netherlands",0.7
"5103 PB, Dongen, Netherlands","Simon Vestdijkstraat 14, 5103 PB Dongen, Netherlands",0.7
"The Netherlands,Amsterdam,1094 KD","Eerste Atjehstraat 77-2, 1094 KD Amsterdam, Netherlands",0.7
"4614 GL, Bergen Op Zoom, Netherlands","Melanendreef 148, 4614 GL Bergen op Zoom, Netherlands",0.7
"United Kingdom,Thatcham,RG19 8FH","5 Harrow Drive, Headley, Thatcham, RG19 8FH, United Kingdom",0.7
"Grote Voort 24714e verdie, 8041BL Zwolle Netherlands","Grote Voort, 8041 BK Zwolle, Netherlands",0.7
"Germany,Ransbach-Baumbach,56235","Rheinstraße 60, 56235 Ransbach-Baumbach, Germany",0.7
"1079 EA, Amsterdam, Netherlands","Waalstraat 86-1, 1079 EB Amsterdam, Netherlands",0.75
Emmasingel 52A2 6001BD WEERT NL,"Emmasingel, 6001 BC Weert, Netherlands",0.75
"1239, Collex-Bossy, Switzerland","Route De Vireloup 107, 1239 Collex, Switzerland",0.8
Novara,"Novara, Novara, Italy",0.8
"France,Wallers ,59135","25 Rue Marcel Danna, 59135 Wallers, France",0.8
"United Kingdom,Ebbw Vale,NP23 4NB","19 Chapel Road, Nantyglo, Ebbw Vale, NP23 4NB, United Kingdom",0.8
"6151 GR, Munstergeleen, Netherlands","Schoutenstraat 57, 6151 GR Munstergeleen, Netherlands",0.8
"Germany,Leinfelden-echterdingen,70771","Hauptstraße 78, 70771 Leinfelden-Echterdingen, Germany",0.8
"Germany,Fürstenberg,16798","Brandenburger Straße 53, 16798 Fürstenberg, Germany",0.8
"2251 GE, Voorschoten, Netherlands","Raadhuislaan 140, 2251 GE Voorschoten, Netherlands",0.8
"2628 VL, Delft, Netherlands","Koningin Emmalaan 21, 2628 VL Delft, Netherlands",0.8
"79206, Breisach Am Rhein, Germany","Richard-Müller-Straße 3b, 79206 Breisach am Rhein, Germany",0.8
"The Netherlands,Purmerend,1441 WN","Kweldergras 40, 1441 WN Purmerend, Netherlands",0.8
"The Netherlands,Terheijden,4844 CV","Oranjeplein 3, 4844 CV Terheijden, Netherlands",0.8
"United Kingdom,London,N19 3BE","21 Dresden Road, Islington, London, N19 3BE, United Kingdom",0.8
"The Netherlands,Hazerswoude-Dorp,2391 NM","Loeteweg 34a, 2391 NM Hazerswoude-Dorp, Netherlands",0.8
"7951 XE, Staphorst, Netherlands","Boekweitveld 24, 7951 XE Staphorst, Netherlands",0.8
"Germany,Ostheim,97645","Marktstraße 28, 97645 Ostheim vor der Rhön, Germany",0.8
"2061 LZ, Bloemendaal, Netherlands","Schaepmanlaan 18, 2061 LZ Bloemendaal, Netherlands",0.8
"3641 VR, Mijdrecht, Netherlands","Korenbloem 90, 3641 VR Mijdrecht, Netherlands",0.8
"Germany,Kernen,71394","Karlstraße 2, 71394 Kernen im Remstal, Germany",0.8
"France,Pecquencourt,59146","2b Rue Du Beffroi, 59146 Pecquencourt, France",0.8
"2391 PR, Hazerswoude-Dorp, Netherlands","Schotlandlaan 1, 2391 PR Hazerswoude-Dorp, Netherlands",0.8
"1076 BM, Amsterdam, Netherlands","Stadionkade 100-1, 1076 BM Amsterdam, Netherlands",0.8
"2564 LT, Den Haag, Netherlands","Kornoeljestraat 122, 2564 LT Den Haag, Netherlands",0.8
"6176 CJ, Spaubeek, Netherlands","Klooterweg, 6176 CJ Spaubeek, Netherlands",0.8
"The Netherlands,Aalsmeer,1431 EL","Stommeerkade 65, 1431 EL Aalsmeer, Netherlands",0.8
"United Kingdom,Surrey,KT22 9UW","10 Meadow Lane, Fetcham, Leatherhead, KT22 9UW, United Kingdom",0.8
"Schorner Strasse 1 A, Mitglied: die 682065 Baierbrunn Germany","Schorner Straße 1, 82065 Baierbrunn, Germany",0.8
"Belgium,Bouwel,2288","Stationlei 10, 2288 Grobbendonk, Antwerp, Belgium",0.8
"Av. Tres Cruces 44, 46014 Valencia Spain","Avinguda De Les Tres Creus 43, 46018 València, Valencia, Spain",0.8
"De Boelelaan 78e etage, 1083 HJ Amsterdam Netherlands","De Boelelaan 32, 1083 HJ Amsterdam, Netherlands",0.8
"torhoutstraat 16, Zwevezele Belgium","Torhoutstraat 16, 8750 Wingene, West Flanders, Belgium",0.8
"1362 JD, Almere, Netherlands","Koperstraat 36, 1362 JB Almere, Netherlands",0.8
"Fabriekstraat 25, 9120 Kallo Belgium","Fabriekstraat 25, 9120 Beveren, East Flanders, Belgium",0.8
"The Netherlands,Nieuwleusen,7711BA","Burgemeester Backxlaan 107, 7711 AC Nieuwleusen, Netherlands",0.8
"3755WT, EEMNES, Netherlands","Sleephark 16, 3755 WR Eemnes, Netherlands",0.8
"The Netherlands,Amstelhoek,1427 AB","Piet Heinlaan 10, 1427 AC Amstelhoek, Netherlands",0.8
"Pas 69A, 2440 Geel Belgium","Pas 79, 2440 Geel, Antwerp, Belgium",0.8
"United Kingdom,St. Helens,WA9 3DR","157 Sutton Road, St. Helens, WA9 3DU, United Kingdom",0.8
"4652, Steinerkirchen An Der Traun, Austria","Landstraße 10, 4652 Steinerkirchen an der Traun, Austria",0.8
"3646 AN, Waverveen, Netherlands","Poelweg 2, 3646 AN Waverveen, Netherlands",0.8
"The Netherlands,Tilburg,5037 CR","Abdij Van Egmondstraat 49, 5037 CR Tilburg, Netherlands",0.8
"The Netherlands,Den Helder,1785 DN","Marina-Park 461, 1785 DN Den Helder, Netherlands",0.8
"7442 JX, Nijverdal, Netherlands","Straussstraat 18, 7442 JX Nijverdal, Netherlands",0.8
"2566 KA, Den Haag, Netherlands","Sportlaan 163, 2566 KA Den Haag, Netherlands",0.8
"The Netherlands,Duiven,6922 GA","Weidekervel 39, 6922 GA Duiven, Netherlands",0.8
"9001DJ, GROU, Netherlands","Brêgepaad 20, 9001 DJ Grou, Netherlands",0.8
"1078 JR, Amsterdam, Netherlands","Diezestraat 20-1, 1078 JR Amsterdam, Netherlands",0.8
"The Netherlands,Nieuw-Vennep,2152 HD","Bolwerksepoort 64, 2152 HD Nieuw-Vennep, Netherlands",0.8
"E4 6BY, London, United Kingdom","7 Victoria Road, Waltham Forest, London, E4 6BY, United Kingdom",0.8
"4031, Debrecen, Hungary","Debrecen, Tócóskert Tér 1, 4031, Hajdú-Bihar, Hungary",0.8
"Austria,Piesendorf,5721","Dorfstraße 170, 5721 Piesendorf, Austria",0.8
"5931 NJ, TEGELEN, Netherlands","Beijtelstraat 3, 5931 NJ Tegelen, Netherlands",0.8
"7414 CV, Deventer, Netherlands","Brikskamp 1, 7414 CV Deventer, Netherlands",0.8
"The Netherlands,Tilburg,5049 NP","Verdiplein 92, 5049 NP Tilburg, Netherlands",0.8
"Germany,Puschwitz,2699","Puschwitz, Kreis Bautzen, Saxony, Germany",0.8
"3523 GK, Utrecht, Netherlands","Turkooislaan 31a, 3523 GK Utrecht, Netherlands",0.8
"5223 LP, 'S Hertogenbosch, Netherlands","Residentieplein 31, 5223 LP 's-Hertogenbosch, Netherlands",0.8
"France,LES DEUX ALPES,38860","192 Rue De L'alpe, 38860 Les Deux Alpes, France",0.8
"BS8 2BA, BRISTOL, United Kingdom","55 Oakfield Road, Bristol, BS8 2BA, United Kingdom",0.8
"SE15 3DZ, LONDON, United Kingdom","297 Ivydale Road, Southwark, London, SE15 3DZ, United Kingdom",0.8
"SY8 1NH, Ludlow, United Kingdom","55 Broad Street, Ludlow, SY8 1NH, United Kingdom",0.8
"United Kingdom,Milton Keynes,MK4 4NH","5 Hever Close, Milton Keynes, MK4 4NH, United Kingdom",0.8
"Ertbrugstraat 22, 9260, Schellebelle, BE","Ertbrugstraat 22, 9260 Wichelen, East Flanders, Belgium",0.8
"3601 JM, Maarssen, Netherlands","Donkerelaan 1, 3601 JN Maarssen, Netherlands",0.8
"6166, fulpmes, Austria","Fulpmes, Tyrol, Austria",0.8
"Bennekomseweg 41, 6711 LL Ede Netherlands","Bennekomseweg 41, 6717 LL Ede, Netherlands",0.8
"SW1V 2RG, London, United Kingdom","144 Vauxhall Bridge Road, Westminster, London, SW1V 2RF, United Kingdom",0.85
"TS22 5RA, Billingham, United Kingdom","10 Snowdrop Avenue, Wynyard Village, Billingham, TS22 5RA, United Kingdom",0.85
"Germany,Bad honnef,53604","Bad Honnef, Rhein-Sieg-Kreis, North Rhine-Westphalia, Germany",0.85
"3731 HR, De Bilt, Netherlands","Waterweg 152, 3731 HR De Bilt, Netherlands",0.85
"7783 GL, Gramsbergen, Netherlands","Van Der Esestraat 4, 7783 GL Gramsbergen, Netherlands",0.85
"2954 BH, Alblasserdam, Netherlands","Zeelt 45, 2954 BH Alblasserdam, Netherlands",0.85
"The Netherlands,DRACHTEN,9205 ES","Grasland 51, 9205 ES Drachten, Netherlands",0.85
"The Netherlands,Nieuwpoort,2965AH","Heulkamp 8, 2965 AH Nieuwpoort, Netherlands",0.85
"5711 BT, Someren, Netherlands","Loostreeplaan 1, 5711 BT Someren, Netherlands",0.85
"2421 BM, Nieuwkoop, Netherlands","Wilgenlaan 5, 2421 BM Nieuwkoop, Netherlands",0.85
"2275 EK, Voorburg, Netherlands","Paradijsstraat 25, 2275 EK Voorburg, Netherlands",0.85
"The Netherlands,Uden,5403WP","Bermershof 801, 5403 WP Uden, Netherlands",0.85
"Rua Coronel Melo Antunes (Massamá) Lote 615º A, 2745-871 Queluz Portugal","Rua Coronel Melo Antunes, 2745-871 Queluz, Lisbon, Portugal",0.85
"VIA SAN PASQUALE 23, 89022 CITTANOVA Italy","Via San Pasquale 37, 89022 Cittanova Reggio Calabria, Italy",0.85
"6641 WN, Beuningen, Netherlands","Gaard 19, 6641 WN Beuningen Gld, Netherlands",0.85
"6584AN, MOLENHOEK, Netherlands","Hertogstraat 7, 6584 AN Molenhoek, Netherlands",0.85
"The Netherlands,Zeewolde,3891 EL","Molenrak 12, 3891 EL Zeewolde, Netherlands",0.85
"Hammestraat 84, 9220, Moerzeke, BE","Hammestraat 84, 9220 Hamme, East Flanders, Belgium",0.85
"3417 HS, Montfoort, Netherlands","De Bongerd 1a, 3417 HT Montfoort, Netherlands",0.85
"The Netherlands,Nieuwe Pekela,9663 GE","Dennenlaan 30, 9663 EN Nieuwe Pekela, Netherlands",0.85
"Wiekevorstseweg 14, 2200 Morkhoven Belgium","Wiekevorstseweg 14, 2200 Herentals, Antwerp, Belgium",0.85
"The Netherlands,Heiloo,1852 WL","Vredenoord 142, 1852 WL Heiloo, Netherlands",0.85
"Angelholm, 262 78, Sweden","Produktionsvägen 10, 262 78 Ängelholm, Sweden",0.85
"LE14 3SP, Melton Mowbray, United Kingdom","20 Valley Road, Asfordby, Melton Mowbray, LE14 3SP, United Kingdom",0.85
"The Netherlands,Eindhoven,5611 HW","Emmasingel 37, 5611 AZ Eindhoven, Netherlands",0.85
"The Netherlands,Katwijk,2225 AH","Buitensluisstraat 15, 2225 AH Katwijk, Netherlands",0.85
"Guldenvliesstraat 2, 2600, Berchem, BE","Guldenvliesstraat 2, 2600 Antwerpen, Antwerp, Belgium",0.85
"De Oanrin 33, Goutum Netherlands","De Oanrin 33, 8941 DJ Leeuwarden, Netherlands",0.85
"Belgium,Outgaarden,3321","Sint-Rochusstraat 14, 3321 Hoegaarden, Flemish Brabant, Belgium",0.85
"1019 NJ, Amsterdam, Netherlands","Venetiëstraat 70, 1019 NJ Amsterdam, Netherlands",0.85
"5121 MR, Rijen, Netherlands","Atalanta 15, 5121 MR Rijen, Netherlands",0.85
"5406 BZ, Uden, Netherlands","Statendaalder 2, 5406 BZ Uden, Netherlands",0.85
"The Netherlands,Leiden,2312 KB","Nieuwstraat 8c, 2312 KB Leiden, Netherlands",0.85
"3341 LL, Hendrik Ido Ambacht, Netherlands","Veersedijk 111, 3341 LL Hendrik-Ido-Ambacht, Netherlands",0.85
"1071 EA, Amsterdam, Netherlands","Gabriël Metsustraat 8, 1071 EA Amsterdam, Netherlands",0.85
"6541 TK, Nijmegen, Netherlands","Waterstraat 28, 6541 TK Nijmegen, Netherlands",0.85
"United Kingdom,Gillingham kent,ME8 0AN","77 Marshall Road, Gillingham, ME8 0AN, United Kingdom",0.85
"United Kingdom,Ware,SG12 8LL","11 Cresset Close, St Margarets, Ware, SG12 8LL, United Kingdom",0.85
"The Netherlands,Erica,7887EP","Verlengde Vaart Zuidzijde 79c, 7887 EP Erica, Netherlands",0.85
"9461 BT, Gieten, Netherlands","Julianalaan 8, 9461 BT Gieten, Netherlands",0.85
"3024 EE, Rotterdam, Netherlands","Schiehavenweg, 3024 EE Rotterdam, Netherlands",0.85
"7202 AP, Zutphen, Netherlands","Groote Bolwerk 68, 7202 AP Zutphen, Netherlands",0.85
"France,AUBIERE,63170","1 Rue Des Ramacles, 63170 Aubière, France",0.85
"The Netherlands,Amsterdam,1082MK","Gustav Mahlerlaan 149, 1082 MK Amsterdam, Netherlands",0.85
"The Netherlands,Maasland,3155 GA","Dijkgraaf 12, 3155 GA Maasland, Netherlands",0.85
"The Netherlands,Amsterdam,1058 VG","Paramaribostraat 43-1, 1058 VG Amsterdam, Netherlands",0.85
"The Netherlands,Haarlem,2014 EA","Snelliusstraat 34, 2014 EA Haarlem, Netherlands",0.85
"4726 TB, Heerle, Netherlands","Zoomvlietweg 22, 4726 TB Heerle, Netherlands",0.85
"3701 HX, Zeist, Netherlands","Montaubanstraat 88, 3701 HX Zeist, Netherlands",0.85
"The Netherlands,Apeldoorn,7316 ND","De Jagershuizen 2, 7316 ND Apeldoorn, Netherlands",0.85
"The Netherlands,Santpoort-Zuid,2082 HR","Papenburghlaan 8, 2082 HR Santpoort-Zuid, Netherlands",0.85
"7908 MK, Hoogeveen, Netherlands","Klaverkamp 39, 7908 MK Hoogeveen, Netherlands",0.9
"1075 XX, Amsterdam, Netherlands","Amstelveenseweg 290-1, 1075 XX Amsterdam, Netherlands",0.9
"1943 DH, Beverwijk, Netherlands","Noorderwijkweg 45, 1943 DH Beverwijk, Netherlands",0.9
"The Netherlands,Den Haag,2555SC","Elisabeth Brugsmaweg 1-707, 2555 SC Den Haag, Netherlands",0.9
"24539, Neumünster, Germany","Segeberger Straße 58, 24539 Neumünster, Germany",0.9
"6374 AV, Landgraaf, Netherlands","Begijnhofstraat 19, 6374 AV Landgraaf, Netherlands",0.9
"73527, SchwÃ¤bisch GmÃ¼nd, Germany","Brainkofer Straße 16, 73527 Schwäbisch Gmünd, Germany",0.9
"2922 VA, Krimpen aan den IJssel, Netherlands","Baljuwstraat 1, 2922 VA Krimpen aan den IJssel, Netherlands",0.9
"5431 TH, Cuijk, Netherlands","Irenestraat 14, 5431 TH Cuijk, Netherlands",0.9
"The Netherlands,Rotterdam,3051 KH","Erasmussingel 48a, 3051 KH Rotterdam, Netherlands",0.9
"6531 ZP, Nijmegen, Netherlands","Graafseweg 159, 6531 ZP Nijmegen, Netherlands",0.9
"Germany,Norderstedt,22844","Alter Kirchenweg 41, 22844 Norderstedt, Germany",0.9
"7731 ZL, Ommen, Netherlands","Danteweg, 7731 ZL Ommen, Netherlands",0.9
"The Netherlands,Sittard,6132 HC","Wassenbergstraat 10, 6132 HC Sittard, Netherlands",0.9
"Christiane Vulpiusstr. 11, 60437 Frankfurt Germany","Christiane-Vulpius-Straße 11, 60438 Frankfurt am Main, Germany",0.9
"Rue Clarisse 35, 7301 Hornu Belgium","Rue Clarisse 35, 7301 Boussu, Hainaut, Belgium",0.9
"Van Ruisdaelstraat 1, Zwijndrecht  Netherlands","Van Ruisdaelstraat 1a, 3331 CT Zwijndrecht, Netherlands",0.9
"Austria,Grünau im Almtal,4645","L549, 4645 Grünau im Almtal, Austria",0.9
"Meidoornplein 17, Amsterdam Netherlands","Meidoornplein 17b, 1031 GA Amsterdam, Netherlands",0.9
"Stationsstraat 92, 3191 Hever Belgium","Stationsstraat 92, 3191 Boortmeerbeek, Flemish Brabant, Belgium",0.9
"7072, MÃ¶rbisch, Austria","Hauptstraße 1, 7072 Mörbisch am See, Austria",0.9
"3371 PC, Hardinxveld Giessendam, Netherlands","Wieling 95, 3371 PC Hardinxveld-Giessendam, Netherlands",0.9
"5247 HP, Rosmalen, Netherlands","Goudveilstraat 29, 5247 HP Rosmalen, Netherlands",0.9
"Italy,Cesena,47521","Via Righi 1, 47521 Cesena Forlì-Cesena, Italy",0.9
"8152 BE, Lemelerveld, Netherlands","Ommerweg, 8152 BE Lemelerveld, Netherlands",0.9
"ST5 6TA, NEWCASTLE, United Kingdom","47 Sutton Avenue, Newcastle-under-Lyme, Newcastle, ST5 6TA, United Kingdom",0.9
"Prinses Irenestraat 5, Assen Netherlands","Prinses Irenestraat 5a, 9401 HH Assen, Netherlands",0.9
"Chemin du Rénowelz 49, 7812 Mainvault Belgium","Chemin Du Rénowelz 49, 7812 Ath, Hainaut, Belgium",0.9
"Van Luppenstraat 55, Antwerpen Belgium","Van Luppenstraat 59, 2018 Antwerpen, Antwerp, Belgium",0.9
"France,St Denis En Val,45560","Saint-Denis-en-Val, Loiret, France",0.9
"Geert Groteplein 8 , Alkmaar Netherlands","Geert Groteplein 7, 1813 BM Alkmaar, Netherlands",0.9
"Oostoever 5, ROELOFARENDSVEEN Netherlands","Oostoever 5, 2371 JB Roelofarendsveen, Netherlands",0.9
"Paalbergweg 2-4, 1105 AG Amsterdam Netherlands","Paalbergweg 2, 1105 AG Amsterdam, Netherlands",0.9
"France,PETITE FORET,59494","2 Rue Lénine, 59494 Petite-Forêt, France",0.92
"4651 JD, Steenbergen nb, Netherlands","Gageldonk 14, 4651 JD Steenbergen, Netherlands",0.92
"Groeneweg 46, 3001, Heverlee, BE","Groeneweg 46, 3001 Leuven, Flemish Brabant, Belgium",0.93
"Germany,Seevetal,21220","Horster Landstraße 117, 21220 Seevetal, Germany",0.93
"Germany,Koblenz,56068","Hohenzollernstraße 11, 56068 Koblenz, Germany",0.93
"VIA LUCCHESE 19/B, 50019 SESTO FIORENTINO Italy","Via Lucchese 19, 50019 Sesto Fiorentino Florence, Italy",0.95
"Kanaaldijk 8, Giethoorn  Netherlands","Kanaaldijk 8, 8355 VH Giethoorn, Netherlands",0.95
"Swammerdamsingel 45, Schiedam Netherlands","Swammerdamsingel 45, 3112 RH Schiedam, Netherlands",0.95
Molenstraat 27  PBA 8326CV SINT JANSKLOOSTER NL,"Molenstraat 27, 8326 CV Sint Jansklooster, Netherlands",0.95
"Marsstraat 39 39, Haarlem Netherlands","Marsstraat 39, 2024 GA Haarlem, Netherlands",0.95
Dr. Welfferweg 35 A 3615AL WESTBROEK NL,"Doctor Welfferweg 35, 3615 AL Westbroek, Netherlands",0.95
"United Kingdom,Whitfield,CT16 3HL","27 Lenacre Lane, Whitfield, Dover, CT16 3HL, United Kingdom",0.95
"5694 AH, Son en Breugel, Netherlands","Pieter Brueghelplein 5, 5694 AH Son en Breugel, Netherlands",0.95
"1405 AR, Bussum, Netherlands","Laan Van Suchtelen Van De Haare 19, 1405 AR Bussum, Netherlands",0.95
"The Netherlands,Gouda,2803 XK","Jan Mayenlaan 5, 2803 XK Gouda, Netherlands",0.95
"5017 DX, Tilburg, Netherlands","Kempenaarplaats 72, 5017 DX Tilburg, Netherlands",0.95
"6245 TM, EIJSDEN, Netherlands","Muurbloem 5, 6245 TM Eijsden, Netherlands",0.95
"EX15 1DB, CULLOMPTON, United Kingdom","8 Queen Square, Cullompton, EX15 1DB, United Kingdom",0.95
"8916 ER, Leeuwarden, Netherlands","Bachstraat 19, 8916 ER Leeuwarden, Netherlands",0.95
"3224 RA, Hellevoetsluis, Netherlands","Abeel 9, 3224 RA Hellevoetsluis, Netherlands",0.95
"7054AK, WESTENDORP, Netherlands","Kersendijk 2, 7054 AK Westendorp, Netherlands",0.95
"3209 BW, Hekelingen, Netherlands","Petrus Steyaertlaan 9, 3209 BW Hekelingen, Netherlands",0.95
"The Netherlands,Andijk,1619 XD","Beatrixstraat 7, 1619 XD Andijk, Netherlands",0.95
"2341 SE, Oegstgeest, Netherlands","Hazenboslaan 17, 2341 SE Oegstgeest, Netherlands",0.95
"The Netherlands,Hoorn,1623RZ","Schoutenstraat 72, 1623 RZ Hoorn, Netherlands",0.95
"1187 DA, Amstelveen, Netherlands","Jane Addamslaan 67, 1187 DA Amstelveen, Netherlands",0.95
"The Netherlands,Emmeloord,8303 ML","Middelplaat 62, 8303 ML Emmeloord, Netherlands",0.95
"United Kingdom,Southsea,PO4 8TW","7 St. James Place, Southsea, PO4 8TW, United Kingdom",0.95
"United Kingdom,Godalming ,GU7 3SN","14 Green Lane, Farncombe, Godalming, GU7 3SN, United Kingdom",0.95
"5761 HM, Bakel, Netherlands","Groenveld 6, 5761 HM Bakel, Netherlands",0.95
